maze_size,number_of_agent_moves,number_of_target_moves,total_examining_count,flat_examined,hilly_examined,forest_examined,message
11,0,0,0,0,0,0,found goal
11,6,2,2,1,1,0,found goal
11,19,4,2,2,0,0,found goal
11,0,0,0,0,0,0,found goal
11,50,8,5,1,3,1,found goal
11,48,10,5,0,3,2,found goal
11,11,3,2,1,1,0,found goal
11,77,13,6,0,5,1,found goal
11,11,4,1,1,0,0,found goal
11,2,0,1,1,0,0,found goal
11,49,11,6,4,2,0,found goal
11,16,2,1,1,0,0,found goal
11,0,0,0,0,0,0,found goal
11,0,0,0,0,0,0,found goal
11,0,0,0,0,0,0,found goal
11,2,0,1,1,0,0,found goal
11,7,2,1,0,1,0,found goal
11,10,2,2,2,0,0,found goal
11,23,4,1,0,1,0,found goal
11,4,1,2,1,0,1,found goal
11,19,4,2,1,1,0,found goal
11,0,0,0,0,0,0,found goal
11,25,5,4,4,0,0,found goal
11,0,0,0,0,0,0,found goal
11,20,2,2,2,0,0,found goal
11,12,5,5,1,3,1,found goal
11,20,5,2,2,0,0,found goal
11,0,0,0,0,0,0,found goal
11,11,3,1,1,0,0,found goal
11,10,3,3,3,0,0,found goal
11,0,0,0,0,0,0,found goal
11,46,7,4,4,0,0,found goal
11,40,7,7,2,0,5,found goal
11,20,4,2,2,0,0,found goal
11,21,4,2,1,1,0,found goal
11,5,1,1,1,0,0,found goal
11,9,1,1,1,0,0,found goal
11,32,6,2,1,1,0,found goal
11,4,1,2,1,0,1,found goal
11,4,1,2,0,2,0,found goal
11,0,0,0,0,0,0,found goal
11,20,5,3,1,0,2,found goal
11,9,2,3,3,0,0,found goal
11,6,1,1,1,0,0,found goal
11,0,0,0,0,0,0,found goal
11,17,3,3,1,2,0,found goal
11,31,5,2,1,1,0,found goal
11,39,4,3,0,1,2,found goal
11,8,2,2,2,0,0,found goal
11,101,12,5,1,3,1,found goal
11,0,0,0,0,0,0,found goal
11,8,1,1,1,0,0,found goal
11,25,6,2,1,0,1,found goal
11,8,2,1,1,0,0,found goal
11,46,9,4,0,3,1,found goal
11,18,7,4,4,0,0,found goal
11,0,0,0,0,0,0,found goal
11,23,7,2,0,2,0,found goal
11,0,0,0,0,0,0,found goal
11,0,0,0,0,0,0,found goal
11,45,8,4,1,1,2,found goal
11,5,1,1,1,0,0,found goal
11,22,5,2,2,0,0,found goal
11,114,12,4,2,1,1,found goal
11,10,1,1,1,0,0,found goal
11,21,4,3,3,0,0,found goal
11,29,6,5,5,0,0,found goal
11,0,0,0,0,0,0,found goal
11,56,8,2,1,1,0,found goal
11,0,0,0,0,0,0,found goal
11,0,0,0,0,0,0,found goal
11,0,0,0,0,0,0,found goal
11,2,0,1,1,0,0,found goal
11,0,0,0,0,0,0,found goal
11,0,0,0,0,0,0,found goal
11,14,3,2,2,0,0,found goal
11,0,0,0,0,0,0,found goal
11,125,9,6,6,0,0,found goal
11,8,3,2,1,0,1,found goal
11,96,15,11,8,3,0,found goal
11,0,0,0,0,0,0,found goal
11,0,0,0,0,0,0,found goal
11,13,2,2,2,0,0,found goal
