agent8_2.actions,agent8_2.flat_exam, agent8_2.hilly_exam, agent8_2.forest_exam
122,30,0,0
521,122,0,0
4558,1045,0,0
4759,1082,0,0
8197,1745,0,0
16713,895,1294,932
34945,1285,1723,2559
70,7,6,4
5477,451,477,347
936,233,0,0
7172,504,649,456
69264,1263,2255,4689
11350,843,964,734
27114,5129,0,0
7755,581,689,517
4823,1118,0,0
26143,5187,0,0
8243,1830,0,0
9244,635,782,601
12161,2673,0,0
934,221,0,0
82828,1310,2358,4966
3894,286,339,237
961,215,0,0
9793,2215,0,0
7489,569,636,437
6140,459,569,386
5529,1271,0,0
11688,852,1020,675
272,62,0,0
97818,1566,2986,6300
3961,295,342,222
178419,2329,4669,10592
5081,372,460,352
7219,513,562,464
28260,1096,1486,1886
1115,266,0,0
20563,1094,1199,1592
2400,210,221,116
1528,138,125,100
17186,942,1210,1160
7213,543,617,444
1085,87,103,64
38053,1141,1930,2744
14963,3214,0,0
3679,272,315,221
88198,1627,2362,5290
10883,713,944,654
2662,184,226,156
7584,547,610,422
18539.3,,,
