agent6.actions,agent6.flat_exam, agent6.hilly_exam,agent6.forest_exam,agent7.actions,agent7.flat_exam,agent7.hilly_exam,agent7.forest_exam,            agent8.actions,agent8.flat_exam, agent8.hilly_exam, agent8.forest_exam
31793,534,796,2252,7207,423,436,383,5321,338,481,325
66122,822,1803,4344,1940,143,121,127,1838,121,150,120
6897,414,438,433,17067,762,1172,810,6033,403,521,394
4602,290,293,299,44386,1144,1629,3138,20482,1115,1648,2742
3129,206,217,175,83131,1648,2408,4896,341,22,40,21
7021,1303,0,0,6043,1081,0,0,6861,1390,0,0
4152,799,0,0,5262,965,0,0,4852,1027,0,0
3815,750,0,0,9245,1681,0,0,5769,1164,0,0
5317,1031,0,0,2177,448,0,0,4779,961,0,0
29941,616,726,2224,29379,1232,1598,1668,10971,767,974,855
80482,1048,1668,5077,47052,1048,1668,2671,31232,1335,2527,4884
6034,325,372,372,5260,308,357,263,38478,1488,3197,6233
44346,557,1128,3524,24274,1114,1128,1315,35454,1557,2883,5864
26625,588,544,2118,24737,1176,1088,1327,20249,1156,1680,2558
2918,204,195,196,118896,1629,3454,7344,10390,612,955,901
3834,227,261,253,28660,1082,1126,1683,24464,1139,1973,3644
5814,342,347,394,9070,514,528,501,28828,1317,2292,4550
64661,734,1722,4344,6805,437,437,350,10459,673,960,708
7144,409,432,427,40898,1094,1749,2259,50574,1860,4002,8983
3144,208,208,205,7950,490,524,448,11300,730,1063,809
58692,564,1317,3948,8062,500,514,430,10982,707,952,850
7632,485,440,488,15518,651,1044,675,7664,509,620,530
55089,569,1635,4340,24361,1138,1090,1563,6255,405,560,461
2841,557,0,0,2933,560,0,0,5715,1155,0,0
2032,133,135,127,87746,1812,2351,5175,5734,380,525,360
56338,610,1774,3885,8752,564,558,444,41512,1834,3432,6843
6838,425,406,428,6200,400,390,357,10520,652,912,908
16839,3094,0,0,2533,511,0,0,15791,3546,0,0
44946,576,1052,3296,26480,1152,1052,1438,27924,1360,2117,4318
4960,305,343,340,4186,251,271,227,12352,761,1138,1092
3533,701,0,0,3095,608,0,0,5701,1183,0,0
230677,2086,3745,12166,5403,375,334,319,10803,694,926,820
112819,1158,2256,7735,75731,1158,2256,4949,39159,1700,2993,6864
69990,738,1629,4496,4260,274,278,236,4618,326,416,285
9089,534,568,552,2557,168,172,146,1645,97,151,102
19243,556,589,1513,14107,620,1178,598,18665,1047,1703,2196
16133,2857,0,0,2617,472,0,0,7497,1475,0,0
3643,214,235,250,5191,318,343,316,17725,945,1460,2306
30369,587,801,2352,11697,587,982,521,8611,595,757,665
8871,1533,0,0,6349,1213,0,0,11117,2249,0,0
9240,1597,0,0,6934,1236,0,0,10152,2035,0,0
16069,2909,0,0,1299,276,0,0,3387,684,0,0
45795,539,1006,3206,13115,539,1006,548,13143,813,1056,1191
18438,576,554,1400,22226,1097,1108,1119,20226,1108,1650,2477
5075,289,327,325,9313,523,588,517,7515,452,732,490
5439,364,349,342,5611,380,368,304,2665,171,246,154
5022,293,325,350,27564,986,1296,1752,1606,97,139,111
8064,446,473,440,2994,193,203,159,2544,150,231,158
1168,84,65,71,55550,1098,1958,3270,4146,262,374,252
6011,1152,0,0,7065,1336,0,0,4735,963,0,0
25773.72,avg,,,19777.76,,,,13375.68,,,
